---,Name,Classification,Classification2,StaticMesh,Image
264,Elegantchair,furniture,chair,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Elegant_chair.SM_Elegant_chair',Texture2D'/Game/AssetDataList/Image/Elegantchair.Elegantchair'
265,Elegantchair_ottoman,furniture,chair,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Elegant_chair_ottoman.SM_Elegant_chair_ottoman',Texture2D'/Game/AssetDataList/Image/Elegantchair_ottoman.Elegantchair_ottoman'
266,Encyclopedia0,item,book,StaticMesh'/Game/OfficeScene/Meshes/SM_Encyclopedia.SM_Encyclopedia',Texture2D'/Game/AssetDataList/Image/SM_Encyclopedia.SM_Encyclopedia'
267,Encyclopedia1,item,book,StaticMesh'/Game/OfficeScene/Meshes/SM_EncyclopediaStackV2.SM_EncyclopediaStackV2',Texture2D'/Game/AssetDataList/Image/SM_EncyclopediaStackV2.SM_EncyclopediaStackV2'
268,EraserPencil,item,stationery,StaticMesh'/Game/OfficeScene/Meshes/SM_EraserPencil.SM_EraserPencil',Texture2D'/Game/AssetDataList/Image/SM_EraserPencil.SM_EraserPencil'
269,ExecutiveChair,furniture,chair,StaticMesh'/Game/OfficeScene/Meshes/SM_ExecutiveChair.SM_ExecutiveChair',Texture2D'/Game/AssetDataList/Image/SM_ExecutiveChair.SM_ExecutiveChair'
270,ExecutiveDesk,furniture,desk,StaticMesh'/Game/OfficeScene/Meshes/SM_ExecutiveDesk.SM_ExecutiveDesk',Texture2D'/Game/AssetDataList/Image/SM_ExecutiveDesk.SM_ExecutiveDesk'
271,Fence_House_2m,room,garden,StaticMesh'/Game/ModularFantasyHouse/Meshes/SM_Fence_House_2m.SM_Fence_House_2m',Texture2D'/Game/AssetDataList/Image/Fence_House_2m.Fence_House_2m'
272,Fence_House_2m_v2,room,garden,StaticMesh'/Game/ModularFantasyHouse/Meshes/SM_Fence_House_2m_v2.SM_Fence_House_2m_v2',Texture2D'/Game/AssetDataList/Image/Fence_House_2m_v2.Fence_House_2m_v2'
273,Fence_House_3m_1,room,garden,StaticMesh'/Game/ModularFantasyHouse/Meshes/SM_Fence_House_3m_1.SM_Fence_House_3m_1',Texture2D'/Game/AssetDataList/Image/Fence_House_3m_1.Fence_House_3m_1'
274,Figurine,item,itemetc,StaticMesh'/Game/DiningSets/Meshes/SM_Figurine01.SM_Figurine01',Texture2D'/Game/AssetDataList/Image/figurine1.figurine1'
275,FileFolder,item,stationery,StaticMesh'/Game/OfficeScene/Meshes/SM_FileFolder.SM_FileFolder',Texture2D'/Game/AssetDataList/Image/SM_FileFolder.SM_FileFolder'
276,FireExtinguisher,item,living,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_FireExtinguisher.SM_FireExtinguisher',Texture2D'/Game/AssetDataList/Image/FireExtinguisher.FireExtinguisher'
277,FireExtinguisher_Holder,item,living,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_FireExtinguisher_Holder.SM_FireExtinguisher_Holder',Texture2D'/Game/AssetDataList/Image/FireExtinguisher_Holder.FireExtinguisher_Holder'
278,Fireplace0,item,itemetc,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Fireplace.SM_Fireplace',Texture2D'/Game/AssetDataList/Image/Fireplace.Fireplace'
279,Fireplace1,room,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_Fireplace.SM_Fireplace',Texture2D'/Game/AssetDataList/Image/SM_Fireplace.SM_Fireplace'
280,Flower0,plants,flower,StaticMesh'/Game/NaturePackage/Meshes/RescaledFlora/flowers01.flowers01',Texture2D'/Game/AssetDataList/Image/flower1.flower1'
281,Flower1,plants,flower,StaticMesh'/Game/NaturePackage/Meshes/flora/flowers02.flowers02',Texture2D'/Game/AssetDataList/Image/flower2.flower2'
282,Flower2,plants,flower,StaticMesh'/Game/NaturePackage/Meshes/RescaledFlora/flowers03.flowers03',Texture2D'/Game/AssetDataList/Image/flower3.flower3'
283,FluorescentLight0,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_FluorescentLight_01.SM_FluorescentLight_01',Texture2D'/Game/AssetDataList/Image/FluorescentLight0.FluorescentLight0'
284,FluorescentLight1,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_FluorescentLight_02.SM_FluorescentLight_02',Texture2D'/Game/AssetDataList/Image/FluorescentLight1.FluorescentLight1'
285,FoilBallon,item,itemetc,StaticMesh'/Game/MMSupermarket/Ads/Mesh/SM_FoilBalloon.SM_FoilBalloon',Texture2D'/Game/AssetDataList/Image/FoilBalloon.FoilBalloon'
286,FoldedJeans,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_FoldedJeans.SM_FoldedJeans',Texture2D'/Game/AssetDataList/Image/SM_FoldedJeans.SM_FoldedJeans'
287,FountainPen,item,stationery,StaticMesh'/Game/OfficeScene/Meshes/SM_FountainPen.SM_FountainPen',Texture2D'/Game/AssetDataList/Image/SM_FountainPen.SM_FountainPen'
288,Frame_200A,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_200.SM_Frame_200',Texture2D'/Game/AssetDataList/Image/Frame_200A.Frame_200A'
289,Frame_200A1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_A1_200.SM_Frame_A1_200',Texture2D'/Game/AssetDataList/Image/Frame_200A1.Frame_200A1'
290,Frame_400A,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_A1_400.SM_Frame_A1_400',Texture2D'/Game/AssetDataList/Image/Frame_400A.Frame_400A'
291,Frame_400A1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_A2_400.SM_Frame_A2_400',Texture2D'/Game/AssetDataList/Image/Frame_400A1.Frame_400A1'
292,Frame_400B,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_A3_400.SM_Frame_A3_400',Texture2D'/Game/AssetDataList/Image/Frame_400B.Frame_400B'
293,Frame_400B1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_A4_400.SM_Frame_A4_400',Texture2D'/Game/AssetDataList/Image/Frame_400B1.Frame_400B1'
294,Frame_Attic200A,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_Attic_A_200.SM_Frame_Attic_A_200',Texture2D'/Game/AssetDataList/Image/Frame_Attic200A.Frame_Attic200A'
295,Frame_Attic400A,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_Attic_A_600.SM_Frame_Attic_A_600',Texture2D'/Game/AssetDataList/Image/Frame_Attic400A.Frame_Attic400A'
296,Frame_Attic600A,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_Attic_B_600.SM_Frame_Attic_B_600',Texture2D'/Game/AssetDataList/Image/Frame_Attic600A.Frame_Attic600A'
297,Frame_Basement,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_Basement.SM_Frame_Basement',Texture2D'/Game/AssetDataList/Image/Frame_Basement.Frame_Basement'
298,Frame_GarageA,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_FrameGarage_A.SM_FrameGarage_A',Texture2D'/Game/AssetDataList/Image/Frame_GarageA.Frame_GarageA'
299,Frame_GarageB,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_FrameGarage_B.SM_FrameGarage_B',Texture2D'/Game/AssetDataList/Image/Frame_GarageB.Frame_GarageB'
300,Frame_Inner200,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_Inside_200.SM_Frame_Inside_200',Texture2D'/Game/AssetDataList/Image/Frame_Inner200.Frame_Inner200'
301,Frame_Inner400,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/DoorFrames/SM_Frame_Inside_400.SM_Frame_Inside_400',Texture2D'/Game/AssetDataList/Image/Frame_Inner400.Frame_Inner400'
302,FruitCrate_Blue,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_FruitCrate_Blue.SM_FruitCrate_Blue',Texture2D'/Game/AssetDataList/Image/FruitCrate_Blue.FruitCrate_Blue'
303,FruitCrate_Green,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_FruitCrate_Green.SM_FruitCrate_Green',Texture2D'/Game/AssetDataList/Image/FruitCrate_Green.FruitCrate_Green'
304,GarageShelfA,room,hall,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_GarageShelfA.SM_GarageShelfA',Texture2D'/Game/AssetDataList/Image/SM_GarageShelfA.SM_GarageShelfA'
305,GardenLamp,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_GardenLight.SM_GardenLight',Texture2D'/Game/AssetDataList/Image/GardenLamp.GardenLamp'
306,Globe,item,itemetc,StaticMesh'/Game/OfficeScene/Meshes/SM_Globe.SM_Globe',Texture2D'/Game/AssetDataList/Image/SM_Globe.SM_Globe'
307,Glowstick,wall,archi,StaticMesh'/Game/SoulCave/Environment/Meshes/Building_Slum/SM_glowstick02.SM_glowstick02',Texture2D'/Game/AssetDataList/Image/glowstick02.glowstick02'
308,Grass_small,plants,grass,StaticMesh'/Game/ProceduralNaturePack/Meshes/grass/grass_small_01.grass_small_01',Texture2D'/Game/AssetDataList/Image/grass_small_01.grass_small_01'
309,Grass0,plants,grass,StaticMesh'/Game/PN_OpenWorldFoliage/Meshes/openWorld_grass_01_01_01.openWorld_grass_01_01_01',Texture2D'/Game/AssetDataList/Image/grass1-1.grass1-1'
310,Grass1,plants,grass,StaticMesh'/Game/PN_OpenWorldFoliage/Meshes/openWorld_grass_02_01_03.openWorld_grass_02_01_03',Texture2D'/Game/AssetDataList/Image/grass2-3.grass2-3'
311,Grass2,plants,grass,StaticMesh'/Game/PN_OpenWorldFoliage/Meshes/openWorld_grass_01_01_03.openWorld_grass_01_01_03',Texture2D'/Game/AssetDataList/Image/grass1-3.grass1-3'
312,Grass3,plants,grass,StaticMesh'/Game/PN_OpenWorldFoliage/Meshes/openWorld_grass_02_02_04.openWorld_grass_02_02_04',Texture2D'/Game/AssetDataList/Image/grass2-4.grass2-4'
313,GuitarAcoustic,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_GuitarAcoustic.SM_GuitarAcoustic',Texture2D'/Game/AssetDataList/Image/SM_GuitarAcoustic.SM_GuitarAcoustic'
314,GuitarMount,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_GuitarMount.SM_GuitarMount',Texture2D'/Game/AssetDataList/Image/SM_GuitarMount.SM_GuitarMount'
315,HandTruck,item ,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_HandTruck.SM_HandTruck',Texture2D'/Game/AssetDataList/Image/HandTruck.HandTruck'
316,Handwash,item,living,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CP3Handwash01.SM_CP3Handwash01',Texture2D'/Game/AssetDataList/Image/HandWash1.HandWash1'
317,HeartLeaf_Large,plants,plant,StaticMesh'/Game/HouseplantPack/Geometry/Plants/SM_heartLeafLarge.SM_heartLeafLarge',Texture2D'/Game/AssetDataList/Image/HeartLeaf.HeartLeaf'
318,HeartLeafPot,plants,pot,StaticMesh'/Game/HouseplantPack/Geometry/SM_MERGED_heartLeaf.SM_MERGED_heartLeaf',Texture2D'/Game/AssetDataList/Image/HeartLeafPot.HeartLeafPot'
319,HeartLeafPot_Large,plants,pot,StaticMesh'/Game/HouseplantPack/Geometry/SM_MERGED_heartLeafLarge.SM_MERGED_heartLeafLarge',Texture2D'/Game/AssetDataList/Image/HeartLeaf_Large.HeartLeaf_Large'
320,HedgeRow,item,itemetc,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_HedgeRow.SM_HedgeRow',Texture2D'/Game/AssetDataList/Image/HedgeRow.HedgeRow'
321,Hotdogs,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Hotdogs.SM_Hotdogs',Texture2D'/Game/AssetDataList/Image/HotDogs.HotDogs'
322,House_Fireplace,room,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_House_Fireplace.SM_House_Fireplace',Texture2D'/Game/AssetDataList/Image/House_Fireplace.House_Fireplace'
323,Hovel,room,garden,StaticMesh'/Game/ModularFantasyHouse/Meshes/SM_Hovel.SM_Hovel',Texture2D'/Game/AssetDataList/Image/Hovel.Hovel'
324,IceCream,food,icecream,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_IceCream_01.SM_IceCream_01',Texture2D'/Game/AssetDataList/Image/IceCream1.IceCream1'
325,IceCreamBucket,food,icecream,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_IceCreamBucket01.SM_IceCreamBucket01',Texture2D'/Game/AssetDataList/Image/IceCreamBucket1.IceCreamBucket1'
326,IceCreamTray,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_IceCreamTray.SM_IceCreamTray',Texture2D'/Game/AssetDataList/Image/IceCreamTray.IceCreamTray'
327,IndoorPlant0,plants,pot,StaticMesh'/Game/OfficeScene/Meshes/SM_IndoorPlant.SM_IndoorPlant',Texture2D'/Game/AssetDataList/Image/SM_IndoorPlant.SM_IndoorPlant'
328,Indoorplant1,plants,plant,StaticMesh'/Game/DiningSets/Meshes/SM_IndoorPlant01.SM_IndoorPlant01',Texture2D'/Game/AssetDataList/Image/indoor_plant.indoor_plant'
329,JalousieBig_A,furniture,furnitureetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_JalousieBig_A.SM_JalousieBig_A',Texture2D'/Game/AssetDataList/Image/SM_JalousieBig_A.SM_JalousieBig_A'
330,JalousieBig_B,furniture,furnitureetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_JalousieBig_C.SM_JalousieBig_C',Texture2D'/Game/AssetDataList/Image/SM_JalousieBig_C.SM_JalousieBig_C'
331,JalousieDouble,furniture,furnitureetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_JalousieDouble.SM_JalousieDouble',Texture2D'/Game/AssetDataList/Image/SM_JalousieDouble.SM_JalousieDouble'
332,Jam0,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CFJam1.SM_CFJam1',Texture2D'/Game/AssetDataList/Image/CFJam1.CFJam1'
333,Jam1,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CFJam2.SM_CFJam2',Texture2D'/Game/AssetDataList/Image/CFJam2.CFJam2'
334,Jug0,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Jug.SM_Jug',Texture2D'/Game/AssetDataList/Image/Jug.Jug'
335,Jug1,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Jug_2.SM_Jug_2',Texture2D'/Game/AssetDataList/Image/Jug_2.Jug_2'
336,JuiceGalon,food,drink,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_JuiceGalon.SM_JuiceGalon',Texture2D'/Game/AssetDataList/Image/JuiceGalon.JuiceGalon'
337,Keyboard,item,computer supplies,StaticMesh'/Game/OfficeScene/Meshes/SM_Keyboard.SM_Keyboard',Texture2D'/Game/AssetDataList/Image/SM_Keyboard.SM_Keyboard'
338,KidsBall,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBall.SM_KidsBall',Texture2D'/Game/AssetDataList/Image/KidsBall.KidsBall'
339,KidsBoxA,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBoxA.SM_KidsBoxA',Texture2D'/Game/AssetDataList/Image/KidsBoxA.KidsBoxA'
340,KidsBoxB,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBoxB.SM_KidsBoxB',Texture2D'/Game/AssetDataList/Image/KidsBoxB.KidsBoxB'
341,KidsBoxC,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBoxC.SM_KidsBoxC',Texture2D'/Game/AssetDataList/Image/KidsBoxC.KidsBoxC'
342,KidsBoxD,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBoxD.SM_KidsBoxD',Texture2D'/Game/AssetDataList/Image/KidsBoxD.KidsBoxD'
343,KidsBoxE,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBoxE.SM_KidsBoxE',Texture2D'/Game/AssetDataList/Image/KidsBoxE.KidsBoxE'
344,KidsBoxF,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBoxF.SM_KidsBoxF',Texture2D'/Game/AssetDataList/Image/KidsBoxF.KidsBoxF'
345,KidsBoxG,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/KidsToys/SM_KidsBoxH.SM_KidsBoxH',Texture2D'/Game/AssetDataList/Image/KidsBoxH.KidsBoxH'
346,Knife,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Knife.SM_Knife',Texture2D'/Game/AssetDataList/Image/Knife.Knife'
347,Ladder,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_Ladder.SM_Ladder',Texture2D'/Game/AssetDataList/Image/Ladder.Ladder'
348,Lamp,furniture,lamp,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Lamp.SM_Lamp',Texture2D'/Game/AssetDataList/Image/Lamp.Lamp'
349,Lamp_Pillar,furniture,lamp,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Lamp_Pillar.SM_Lamp_Pillar',Texture2D'/Game/AssetDataList/Image/Lamp_Pillar.Lamp_Pillar'
350,Lamp_Wall,furniture,lamp,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Lamp_Wall.SM_Lamp_Wall',Texture2D'/Game/AssetDataList/Image/Lamp_Wall.Lamp_Wall'
351,Lamp0,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_Lamp_01.SM_Lamp_01',Texture2D'/Game/AssetDataList/Image/Lamp0.Lamp0'
352,Lamp1,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_Lamp_02.SM_Lamp_02',Texture2D'/Game/AssetDataList/Image/Lamp1.Lamp1'
353,Lamp2,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_Lamp_03.SM_Lamp_03',Texture2D'/Game/AssetDataList/Image/Lamp2.Lamp2'
354,LampCeiling_birch,furniture,lamp,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LampCeiling_birch.SM_LampCeiling_birch',Texture2D'/Game/AssetDataList/Image/SM_LampCeiling_birch.SM_LampCeiling_birch'
355,LampFloor_solid,furniture,lamp,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LampFloor_solid.SM_LampFloor_solid',Texture2D'/Game/AssetDataList/Image/SM_LampFloor_solid.SM_LampFloor_solid'
356,LampPoint,furniture,lamp,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LampPoint.SM_LampPoint',Texture2D'/Game/AssetDataList/Image/SM_LampPoint.SM_LampPoint'
357,LampPost,furniture,lamp,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_LampPost.SM_LampPost',Texture2D'/Game/AssetDataList/Image/LampPost.LampPost'
358,LampTable_solid,furniture,lamp,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LampTable_solid.SM_LampTable_solid',Texture2D'/Game/AssetDataList/Image/SM_LampTable_solid.SM_LampTable_solid'
359,LampWall,furniture,lamp,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LampWall.SM_LampWall',Texture2D'/Game/AssetDataList/Image/SM_LampWall.SM_LampWall'
360,Laptop,item,computer supplies,StaticMesh'/Game/OfficeScene/Meshes/SM_Laptop.SM_Laptop',Texture2D'/Game/AssetDataList/Image/SM_Laptop.SM_Laptop'
361,LaptopClosed,furniture,lamp,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LaptopClosed.SM_LaptopClosed',Texture2D'/Game/AssetDataList/Image/LaptopClosed.LaptopClosed'
362,LaptopOpen,item,machine,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LaptopOpen.SM_LaptopOpen',Texture2D'/Game/AssetDataList/Image/LaptopOpen.LaptopOpen'
363,LargeVase0,plants,vase,StaticMesh'/Game/HouseplantPack/Geometry/Pots/SM_pot01.SM_pot01',Texture2D'/Game/AssetDataList/Image/vase0.vase0'
364,LargeVase1,plants,vase,StaticMesh'/Game/HouseplantPack/Geometry/Pots/SM_pot01b.SM_pot01b',Texture2D'/Game/AssetDataList/Image/pot2.pot2'
365,LargeVase2,plants,vase,StaticMesh'/Game/HouseplantPack/Geometry/Pots/SM_pot02.SM_pot02',Texture2D'/Game/AssetDataList/Image/pot1.pot1'
366,Leaves_banana,plants,leaves,StaticMesh'/Game/ProceduralNaturePack/Meshes/leaves/leaves_banana_01.leaves_banana_01',Texture2D'/Game/AssetDataList/Image/leaves_banana_01.leaves_banana_01'
367,Leaves_tree0,plants,leaves,StaticMesh'/Game/ProceduralNaturePack/Meshes/leaves/leaves_tree_01.leaves_tree_01',Texture2D'/Game/AssetDataList/Image/leaves_tree_01.leaves_tree_01'
368,Leaves_tree1,plants,leaves,StaticMesh'/Game/ProceduralNaturePack/Meshes/leaves/leaves_tree_02.leaves_tree_02',Texture2D'/Game/AssetDataList/Image/leaves_tree_02.leaves_tree_02'
369,Leaves_vine0,plants,leaves,StaticMesh'/Game/ProceduralNaturePack/Meshes/leaves/leaves_vine_03.leaves_vine_03',Texture2D'/Game/AssetDataList/Image/leaves_vine_03.leaves_vine_03'
370,Leaves_vine1,plants,leaves,StaticMesh'/Game/ProceduralNaturePack/Meshes/leaves/leaves_vine_03-1.leaves_vine_03-1',Texture2D'/Game/AssetDataList/Image/leaves_vine_03-1.leaves_vine_03-1'
371,LedLight_A,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_LedLight_01.SM_LedLight_01',Texture2D'/Game/AssetDataList/Image/LedLight_A.LedLight_A'
372,LedLight_B,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_LedLight_02.SM_LedLight_02',Texture2D'/Game/AssetDataList/Image/LedLight_B.LedLight_B'
373,LedSwitch,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/Switches/SM_LightSwitch_04.SM_LightSwitch_04',Texture2D'/Game/AssetDataList/Image/LightSwitch0B.LightSwitch0B'
374,Lightpanel_A,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_LightPanel_A.SM_LightPanel_A',Texture2D'/Game/AssetDataList/Image/Lightpanel_A.Lightpanel_A'
375,Lightpanel_B,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_LightPanel_B.SM_LightPanel_B',Texture2D'/Game/AssetDataList/Image/Lightpanel_B.Lightpanel_B'
376,LightSwitch_Black,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/Switches/SM_LightSwitch_02B.SM_LightSwitch_02B',Texture2D'/Game/AssetDataList/Image/LightSwitch1B.LightSwitch1B'
377,LightSwitch0,furniture,lamp,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_LightSwitch.SM_LightSwitch',Texture2D'/Game/AssetDataList/Image/LightSwitch.LightSwitch'
378,LightSwitch1,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/Switches/SM_LightSwitch_01.SM_LightSwitch_01',Texture2D'/Game/AssetDataList/Image/LightSwitch1.LightSwitch1'
379,Lvan_Tea0,plants,plant,StaticMesh'/Game/NaturePackage/Meshes/flora/Ivan_tea01.Ivan_tea01',Texture2D'/Game/AssetDataList/Image/lvan_tea1.lvan_tea1'
380,Lvan_Tea1,plants,plant,StaticMesh'/Game/NaturePackage/Meshes/flora/Ivan_tea02.Ivan_tea02',Texture2D'/Game/AssetDataList/Image/lvan_tea2.lvan_tea2'
381,Mapleplant0,plants,plant,StaticMesh'/Game/DiningSets/Meshes/SM_Plant02.SM_Plant02',Texture2D'/Game/AssetDataList/Image/Maple_plant.Maple_plant'
382,Mapleplant1,plants,plant,StaticMesh'/Game/DiningSets/Meshes/SM_Plant03.SM_Plant03',Texture2D'/Game/AssetDataList/Image/Maple_plant2.Maple_plant2'
383,MarkerA,item,stationery,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Deskware/SM_MarkerA.SM_MarkerA',Texture2D'/Game/AssetDataList/Image/MarkerA.MarkerA'
384,MarkerB,item,stationery,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Deskware/SM_MarkerB.SM_MarkerB',Texture2D'/Game/AssetDataList/Image/MarkerB.MarkerB'
385,MarkerC,item,stationery,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Deskware/SM_MarkerC.SM_MarkerC',Texture2D'/Game/AssetDataList/Image/MarkerC.MarkerC'
386,MeatalVase0,plants,vase,StaticMesh'/Game/HouseplantPack/Geometry/Pots/SM_metalPot01.SM_metalPot01',Texture2D'/Game/AssetDataList/Image/metal0.metal0'
387,MeatalVase1,plants,vase,StaticMesh'/Game/HouseplantPack/Geometry/Pots/SM_metalPot02.SM_metalPot02',Texture2D'/Game/AssetDataList/Image/metal1.metal1'
388,MeatRefrigerator,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_MeatRefrigerator_01.SM_MeatRefrigerator_01',Texture2D'/Game/AssetDataList/Image/MeatRefrigerator.MeatRefrigerator'
389,MenSign,item,itemetc,StaticMesh'/Game/MMSupermarket/SMBuilding/Mesh/SM_MenSign.SM_MenSign',Texture2D'/Game/AssetDataList/Image/Mensign.Mensign'
390,Metal_Cup,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Metal_Cup.SM_Metal_Cup',Texture2D'/Game/AssetDataList/Image/Metal_Cup.Metal_Cup'
391,Metal_Goblet0,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Metal_Goblet.SM_Metal_Goblet',Texture2D'/Game/AssetDataList/Image/Metal_Goblet0.Metal_Goblet0'
392,Metal_Goblet1,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Metal_Goblet_2.SM_Metal_Goblet_2',Texture2D'/Game/AssetDataList/Image/Metal_Goblet_2.Metal_Goblet_2'
393,Metal_Plate,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Metal_Plate.SM_Metal_Plate',Texture2D'/Game/AssetDataList/Image/Metal_Plate.Metal_Plate'
394,MicrowaveOven,room,kitchen,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_MicrowaveOven.SM_MicrowaveOven',Texture2D'/Game/AssetDataList/Image/MicrowaveOven.MicrowaveOven'
395,MilitayBed0,furniture,bed,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Military_Bed.SM_Military_Bed',Texture2D'/Game/AssetDataList/Image/MilitaryBed0.MilitaryBed0'
396,MilitayBed1,furniture,bed,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Military_Bed_2.SM_Military_Bed_2',Texture2D'/Game/AssetDataList/Image/MilitaryBed1.MilitaryBed1'
397,Milk,food,drink,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_MilkBottle.SM_MilkBottle',Texture2D'/Game/AssetDataList/Image/MilkBottle.MilkBottle'
398,MobilePhone,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_MobilePhone.SM_MobilePhone',Texture2D'/Game/AssetDataList/Image/MobilePhone.MobilePhone'
